day,shift,shift_label,employee_position,total_count,used_count,idle_count,idle_percentage
2025-04-01,1,2025-04-01 (Ca 1),,0,0.0,0.0,
2025-04-01,2,2025-04-01 (Ca 2),,0,0.0,0.0,
2025-04-01,3,2025-04-01 (Ca 3),,0,0.0,0.0,
2025-04-01,4,2025-04-01 (Ca 4),,0,0.0,0.0,
2025-04-02,1,2025-04-02 (Ca 1),,0,0.0,0.0,
2025-04-02,2,2025-04-02 (Ca 2),,0,0.0,0.0,
2025-04-02,3,2025-04-02 (Ca 3),,0,0.0,0.0,
2025-04-02,4,2025-04-02 (Ca 4),,0,0.0,0.0,
2025-04-03,1,2025-04-03 (Ca 1),,0,0.0,0.0,
2025-04-03,2,2025-04-03 (Ca 2),,0,0.0,0.0,
2025-04-03,3,2025-04-03 (Ca 3),,0,0.0,0.0,
2025-04-03,4,2025-04-03 (Ca 4),,0,0.0,0.0,
2025-04-04,1,2025-04-04 (Ca 1),,0,0.0,0.0,
2025-04-04,2,2025-04-04 (Ca 2),,0,0.0,0.0,
2025-04-04,3,2025-04-04 (Ca 3),,0,0.0,0.0,
2025-04-04,4,2025-04-04 (Ca 4),,0,0.0,0.0,
2025-04-05,1,2025-04-05 (Ca 1),,0,0.0,0.0,
2025-04-05,2,2025-04-05 (Ca 2),,0,0.0,0.0,
2025-04-05,3,2025-04-05 (Ca 3),,0,0.0,0.0,
2025-04-05,4,2025-04-05 (Ca 4),,0,0.0,0.0,
2025-04-06,1,2025-04-06 (Ca 1),,0,0.0,0.0,
2025-04-06,2,2025-04-06 (Ca 2),,0,0.0,0.0,
2025-04-06,3,2025-04-06 (Ca 3),,0,0.0,0.0,
2025-04-06,4,2025-04-06 (Ca 4),,0,0.0,0.0,
2025-04-07,1,2025-04-07 (Ca 1),,0,0.0,0.0,
2025-04-07,2,2025-04-07 (Ca 2),,0,0.0,0.0,
2025-04-07,3,2025-04-07 (Ca 3),,0,0.0,0.0,
2025-04-07,4,2025-04-07 (Ca 4),,0,0.0,0.0,
2025-04-08,1,2025-04-08 (Ca 1),,0,0.0,0.0,
2025-04-08,2,2025-04-08 (Ca 2),,0,0.0,0.0,
2025-04-08,3,2025-04-08 (Ca 3),,0,0.0,0.0,
2025-04-08,4,2025-04-08 (Ca 4),,0,0.0,0.0,
2025-04-09,1,2025-04-09 (Ca 1),,0,0.0,0.0,
2025-04-09,2,2025-04-09 (Ca 2),,0,0.0,0.0,
2025-04-09,3,2025-04-09 (Ca 3),,0,0.0,0.0,
2025-04-09,4,2025-04-09 (Ca 4),,0,0.0,0.0,
2025-04-10,1,2025-04-10 (Ca 1),,0,0.0,0.0,
2025-04-10,2,2025-04-10 (Ca 2),,0,0.0,0.0,
2025-04-10,3,2025-04-10 (Ca 3),,0,0.0,0.0,
2025-04-10,4,2025-04-10 (Ca 4),,0,0.0,0.0,
2025-04-11,1,2025-04-11 (Ca 1),,0,0.0,0.0,
2025-04-11,2,2025-04-11 (Ca 2),,0,0.0,0.0,
2025-04-11,3,2025-04-11 (Ca 3),,0,0.0,0.0,
2025-04-11,4,2025-04-11 (Ca 4),,0,0.0,0.0,
2025-04-12,1,2025-04-12 (Ca 1),,0,0.0,0.0,
2025-04-12,2,2025-04-12 (Ca 2),,0,0.0,0.0,
2025-04-12,3,2025-04-12 (Ca 3),,0,0.0,0.0,
2025-04-12,4,2025-04-12 (Ca 4),,0,0.0,0.0,
2025-04-13,1,2025-04-13 (Ca 1),,0,0.0,0.0,
2025-04-13,2,2025-04-13 (Ca 2),,0,0.0,0.0,
2025-04-13,3,2025-04-13 (Ca 3),,0,0.0,0.0,
2025-04-13,4,2025-04-13 (Ca 4),,0,0.0,0.0,
2025-04-14,1,2025-04-14 (Ca 1),,0,0.0,0.0,
2025-04-14,2,2025-04-14 (Ca 2),,0,0.0,0.0,
2025-04-14,3,2025-04-14 (Ca 3),,0,0.0,0.0,
2025-04-14,4,2025-04-14 (Ca 4),,0,0.0,0.0,
2025-04-15,1,2025-04-15 (Ca 1),,0,0.0,0.0,
2025-04-15,2,2025-04-15 (Ca 2),,0,0.0,0.0,
2025-04-15,3,2025-04-15 (Ca 3),,0,0.0,0.0,
2025-04-15,4,2025-04-15 (Ca 4),,0,0.0,0.0,
2025-04-16,1,2025-04-16 (Ca 1),,0,0.0,0.0,
2025-04-16,2,2025-04-16 (Ca 2),,0,0.0,0.0,
2025-04-16,3,2025-04-16 (Ca 3),,0,0.0,0.0,
2025-04-16,4,2025-04-16 (Ca 4),,0,0.0,0.0,
2025-04-17,1,2025-04-17 (Ca 1),,0,0.0,0.0,
2025-04-17,2,2025-04-17 (Ca 2),,0,0.0,0.0,
2025-04-17,3,2025-04-17 (Ca 3),,0,0.0,0.0,
2025-04-17,4,2025-04-17 (Ca 4),,0,0.0,0.0,
2025-04-18,1,2025-04-18 (Ca 1),,0,0.0,0.0,
2025-04-18,2,2025-04-18 (Ca 2),,0,0.0,0.0,
2025-04-18,3,2025-04-18 (Ca 3),,0,0.0,0.0,
2025-04-18,4,2025-04-18 (Ca 4),,0,0.0,0.0,
2025-04-19,1,2025-04-19 (Ca 1),,0,0.0,0.0,
2025-04-19,2,2025-04-19 (Ca 2),,0,0.0,0.0,
2025-04-19,3,2025-04-19 (Ca 3),,0,0.0,0.0,
